一	①
丁	玎
七	⑦
万	萭
丈	扙
三	彡
上	仩
下	芐
不	芣
与	玙
丑	忸
专	抟
且	苴
世	迣
丘	坵
丙	眪
业	鄴
丛	苁
东	崬
丝	噝
丢	丟
两	倆
严	嚴
丧	喪
个	個
丫	吖
中	狆
丰	仹
串	賗
临	臨
丸	汍
丹	冄
为	潙
主	炷
丽	婯
举	舉
乃	釢
久	玖
么	庅
义	義
之	と
乌	烏
乍	咋
乎	苸
乏	疺
乐	泺
乔	喬
乘	塖
乙	乁
九	勼
乞	阣
也	竾
习	習
乡	芗
书	書
买	荬
乱	亂
乾	墘
了	孒
争	踭
事	倳
二	②
于	纡
亏	扝
云	囩
互	沍
五	伍
井	丼
亚	亞
亡	匄
亢	囥
交	茭
亦	洂
产	浐
亨	悙
亩	畝
享	啍
京	倞
亭	渟
亮	煷
亲	儭
人	亾
亿	億
仁	芢
仅	僅
仆	圤
今	妗
介	夰
从	苁
仓	仺
他	彵
仗	扙
付	苻
仙	佡
代	笩
令	泠
以	姒
仪	儀
们	們
仰	卬
价	價
任	姙
份	妢
仿	汸
企	佱
伊	吚
伍	⑤
伏	茯
伐	浌
休	咻
众	衆
优	沋
伙	钬
会	浍
伞	傘
伟	偉
传	伝
伤	傷
伦	囵
伪	沩
估	诂
伴	柈
伸	訷
似	姒
但	泹
位	莅
低	彽
住	炷
佑	祐
体	軆
何	哬
余	悇
佛	仏
作	莋
你	沵
佣	砽
佩	姵
例	唎
供	栱
依	畩
侠	浹
侣	佀
侦	浈
侧	側
侨	喬
侯	糇
侵	埐
便	楩
促	娖
俄	皒
俊	浚
俏	佾
保	湺
俞	揄
俩	唡
俭	倹
修	俢
俯	椨
俱	倶
俺	唵
倍	俻
倒	箌
倔	崛
候	糇
倚	掎
借	徣
倦	惓
倪	淣
债	債
值	惪
倾	傾
假	徦
偏	媥
做	莋
停	渟
健	揵
偶	耦
偷	偸
傍	徬
催	慛
傲	謸
像	潒
僚	獠
僵	壃
儒	濡
儿	ル
允	狁
元	沅
兄	兇
充	茺
兆	狣
先	姺
光	洸
克	尅
免	凂
兑	兌
兔	兎
党	黨
兜	兠
入	叺
全	洤
八	仈
公	厷
